timestamp,market,direction,entry_price,exit_price,pnl,exit_reason,category,is_live_game
2026-03-31T02:44:59.545959+00:00,spread:-timberwolves-(-8.5),short,0.900000,0.990000,-57.75,RESOLVED,spread,True
2026-03-31T02:44:59.552807+00:00,blues-vs.-sharks,long,0.490000,0.330000,-167.95,SL,game-matchup,True
2026-03-31T02:44:59.552981+00:00,pistons-vs.-thunder:-o/u-216.5,long,0.170000,0.120000,-151.97,SL,over-under,True
2026-03-31T02:44:59.553141+00:00,spread:-lakers-(-15.5),long,0.270000,0.520000,449.58,TP,spread,True
2026-03-31T02:44:59.553293+00:00,pistons-vs.-thunder:-o/u-217.5,long,0.120000,0.090000,-130.21,SL,over-under,True
2026-03-31T02:44:59.553449+00:00,san-francisco-giants-vs.-san-diego-padres,short,0.800000,0.830000,-26.06,TP,game-matchup,True
2026-03-31T02:46:59.729668+00:00,detroit-tigers-vs.-arizona-diamondbacks,long,0.230000,0.220000,-28.39,SL,game-matchup,True
2026-03-31T02:46:59.730009+00:00,spread:-lakers-(-16.5),long,0.300000,0.510000,338.18,TP,spread,True
2026-03-31T02:48:59.872287+00:00,spread:-cavaliers-(-17.5),long,0.150000,0.150000,-6.95,SL,spread,True
2026-03-31T02:51:00.042402+00:00,cleveland-guardians-vs.-los-angeles-dodgers,short,0.510000,0.320000,181.85,TP,game-matchup,True
2026-03-31T02:51:00.043102+00:00,trump-announces-end-of-military-operations-against-iran-by-a,short,0.110000,0.110000,-7.05,SL,politics,False
2026-03-31T02:53:00.156364+00:00,spread:-cavaliers-(-16.5),long,0.140000,0.040000,-359.13,SL,spread,True
2026-03-31T02:56:59.913374+00:00,russia-military-action-against-kyiv-municipality-by-march-31,short,0.160000,0.130000,88.02,TP,geopolitics,False
2026-03-31T02:56:59.915450+00:00,spread:-los-angeles-dodgers-(-1.5),short,0.450000,0.290000,173.23,SL,spread,True
2026-03-31T02:59:00.755339+00:00,wizards-vs.-lakers:-o/u-236.5,long,0.140000,0.160000,63.48,TP,over-under,True
2026-03-31T02:59:00.755754+00:00,will-the-upper-bound-of-the-target-federal-funds-rate-be-3.7,short,0.272000,0.233000,65.65,TP,finance,False
